temperature,pressure,x_R32,x_R125,x_IL,y_R32,y_R125,y_IL
298.15,250000,0.246781912,0.00001,0.753218088,0.99999,0.00001,0.00001
298.15,250000,0.18571163,0.01790334,0.79638503,0.75,0.25,0.00001
298.15,250000,0.125550724,0.035607754,0.838841522,0.5,0.5,0.00001
298.15,250000,0.06948201,0.052772226,0.877745764,0.25,0.75,0.00001
298.15,250000,8.53E-05,0.077524304,0.92256095,0.00001,0.99999,0.00001
298.15,100000,0.09676329,0.00001,0.90323671,0.99999,0.00001,0.00001
298.15,100000,0.073204768,0.006280378,0.920514854,0.75,0.25,0.00001
298.15,100000,0.047941166,0.013384878,0.938673956,0.5,0.5,0.00001
298.15,100000,0.02372903,0.020290452,0.955980518,0.25,0.75,0.00001
298.15,100000,0.000028418,0.02713919,0.972832392,0.00001,0.99999,0.00001
298.2,9800,0.00001,0.003,0.997,0.00001,0.00001,0.00001
298.2,99600,0.00001,0.023,0.977,0.00001,0.00001,0.00001
298.2,199800,0.00001,0.05,0.95,0.00001,0.00001,0.00001
298.1,299500,0.00001,0.08,0.92,0.00001,0.00001,0.00001
298.2,399800,0.00001,0.111,0.889,0.00001,0.00001,0.00001
298.2,499500,0.00001,0.143,0.857,0.00001,0.00001,0.00001
298.2,599500,0.00001,0.18,0.82,0.00001,0.00001,0.00001
298.2,799600,0.00001,0.261,0.739,0.00001,0.00001,0.00001
298.1,999800,0.00001,0.363,0.637,0.00001,0.00001,0.00001
298.1,9700,0.018,0.00001,0.982,0.00001,0.00001,0.00001
298.2,99500,0.076,0.00001,0.924,0.00001,0.00001,0.00001
298.2,249700,0.19,0.00001,0.81,0.00001,0.00001,0.00001
298.2,399800,0.297,0.00001,0.703,0.00001,0.00001,0.00001
298.1,549700,0.39,0.00001,0.61,0.00001,0.00001,0.00001
298.1,699500,0.475,0.00001,0.525,0.00001,0.00001,0.00001
298.2,850100,0.552,0.00001,0.448,0.00001,0.00001,0.00001
298.1,999900,0.628,0.00001,0.372,0.00001,0.00001,0.00001
