,P1,x1,P2,x2,P3,x3,P4,x4
0,0.774917644,0.462,1.084893403,0.363,0.941725557,0.154,0.827032887,0.088
1,0.76,0.429928571,1.041326548,0.338714286,0.881583176,0.143928571,0.771589079,0.082214286
2,0.741842135,0.397857143,0.992087618,0.314428571,0.82111557,0.133857143,0.716292412,0.076428571
3,0.714925866,0.365785714,0.937500863,0.290142857,0.760355285,0.123785714,0.661143751,0.070642857
4,0.681123077,0.333714286,0.877919669,0.265857143,0.699333117,0.113714286,0.606143924,0.064857143
5,0.640607663,0.301642857,0.813714041,0.241571429,0.638078204,0.103642857,0.551293726,0.059071429
6,0.593650286,0.269571429,0.745260071,0.217285714,0.576618111,0.093571429,0.496593915,0.053285714
7,0.540597082,0.2375,0.672931465,0.193,0.514978914,0.0835,0.442045213,0.0475
8,0.481848515,0.205428571,0.597093029,0.168714286,0.453185275,0.073428571,0.387648307,0.041714286
9,0.417839807,0.173357143,0.518095894,0.144428571,0.391260518,0.063357143,0.333403845,0.035928571
10,0.349023897,0.141285714,0.436274232,0.120142857,0.329226695,0.053285714,0.279312444,0.030142857
11,0.275857394,0.109214286,0.351943165,0.095857143,0.267104659,0.043214286,0.225374679,0.024357143
12,0.19878956,0.077142857,0.265397642,0.071571429,0.204914121,0.033142857,0.171591093,0.018571429
13,0.118254127,0.045071429,0.17691203,0.047285714,0.142673708,0.023071429,0.117962189,0.012785714
14,0,0,0,0,0,0,0,0
