temperature,pressure,x_R32,x_R125,y_R32,y_R125
265.15,517000,0.00001,0.99999,0.00001,0.99999
265.15,537300,0.0937,0.9063,0.1179,0.8821
265.15,553300,0.1708,0.8292,0.22828,0.77172
265.15,561800,0.2427,0.7573,0.3077,0.6923
265.15,562800,0.2583,0.7417,0.3109,0.6891
265.15,567800,0.2909,0.7091,0.3441,0.6559
265.15,591400,0.4442,0.5558,0.5035,0.4965
265.15,603900,0.5468,0.4532,0.5937,0.4063
265.15,613400,0.635,0.365,0.6779,0.3221
265.15,619600,0.6897,0.3103,0.7162,0.2838
265.15,624800,0.7736,0.2264,0.7783,0.2217
265.15,628100,0.8931,0.1069,0.8916,0.1084
265.15,628600,0.9108,0.0892,0.9062,0.0938
265.15,624100,0.99999,0.00001,0.99999,0.00001
275.15,714300,0.00001,0.99999,0.00001,0.99999
275.15,732800,0.0723,0.9277,0.7004,0.2996
275.15,740400,0.1015,0.8985,0.1309,0.8691
275.15,776800,0.2289,0.7711,0.2876,0.7124
275.15,788600,0.1722,0.8278,0.3427,0.6573
275.15,802600,0.3125,0.6875,0.3811,0.6189
275.15,824600,0.4286,0.5714,0.4952,0.5048
275.15,837500,0.4827,0.5173,0.5434,0.4566
275.15,859100,0.617,0.383,0.6666,0.3334
275.15,867100,0.7747,0.2253,0.7938,0.2062
275.15,872500,0.8395,0.1605,0.8486,0.1514
275.15,881100,0.8657,0.1343,0.8665,0.1335
275.15,878900,0.9271,0.0729,0.9021,0.0979
275.15,866500,0.99999,0.00001,0.99999,0.00001
283.15,908800,0.00001,0.99999,0.00001,0.99999
283.15,926800,0.0956,0.9044,0.1209,0.8791
283.15,962100,0.1926,0.8074,0.2344,0.7656
283.15,980200,0.2293,0.7707,0.2815,0.7185
283.15,1007000,0.3124,0.6876,0.3718,0.6282
283.15,1013000,0.3255,0.6745,0.3865,0.6135
283.15,1026600,0.3669,0.6331,0.4261,0.5739
283.15,1059200,0.5021,0.4979,0.5556,0.4444
283.15,1083800,0.6271,0.3729,0.6761,0.3239
283.15,1089200,0.6458,0.3542,0.687,0.313
283.15,1096500,0.7211,0.2789,0.7483,0.2517
283.15,1106600,0.7936,0.2064,0.8076,0.1924
283.15,1109400,0.8548,0.1452,0.869,0.131
283.15,1112300,0.9104,0.0896,0.9156,0.0844
283.15,1107000,0.99999,0.00001,0.99999,0.00001
293.15,1205000,0.00001,0.99999,0.00001,0.99999
293.15,1299100,0.1736,0.8264,0.2288,0.7712
293.15,1340800,0.2948,0.7052,0.35,0.65
293.15,1348400,0.3244,0.6756,0.3875,0.6125
293.15,1373600,0.3986,0.6014,0.4571,0.5429
293.15,1398600,0.418,0.582,0.5382,0.4618
293.15,1422600,0.5569,0.4431,0.6027,0.3973
293.15,1437300,0.6075,0.3925,0.6477,0.3523
293.15,1450300,0.6706,0.3294,0.6968,0.3032
293.15,1460700,0.7338,0.2662,0.7562,0.2438
293.15,1470400,0.7972,0.2028,0.8103,0.1897
293.15,1475000,0.99999,0.00001,0.99999,0.00001
303.15,1567000,0.00001,0.99999,0.00001,0.99999
303.15,1683500,0.164,0.836,0.2086,0.7914
303.15,1736600,0.2814,0.7186,0.314,0.686
303.15,1781700,0.3798,0.6202,0.4321,0.5679
303.15,1816000,0.4716,0.5284,0.5132,0.4868
303.15,1839400,0.5539,0.4461,0.5908,0.4092
303.15,1869600,0.6219,0.3781,0.6589,0.3411
303.15,1887000,0.6722,0.3278,0.6918,0.3082
303.15,1893400,0.7394,0.2606,0.7588,0.2412
303.15,1905900,0.7912,0.2088,0.7982,0.2018
303.15,1925000,0.99999,0.00001,0.99999,0.00001
